Name,Age,Teams,Matches,Runs,Bat avg,Wickets,Bowl avg,DOB,PlayerID,Country
V Kohli,32.0,RCB,192,5878,38.17,4,92.0,1988-05-11,3600,India
SK Raina,34.0,"CSK, GUJ",193,5368,33.34,25,45.8,1986-11-27,3287,India
DA Warner,34.0,"DDV, SUN",142,5254,42.72,0,,1986-10-27,3637,Australia
RG Sharma,33.0,"DCH, MIN",200,5230,31.32,15,31.67,1987-04-30,3474,India
S Dhawan,35.0,"DDV, MIN, DCH, SUN",178,5197,34.42,4,23.25,1985-05-12,3832,India
AB de Villiers,36.0,"DDV, RCB",169,4849,40.41,0,,1984-02-17,3241,South Africa
CH Gayle,41.0,"KKR, RCB, KXI",132,4772,41.14,18,40.5,1979-09-21,2217,West Indies
MS Dhoni,39.0,"CSK, RPS",204,4632,40.99,0,,1981-07-07,3243,India
RV Uthappa,35.0,"MIN, RCB, PWI, KKR, RRO",189,4607,27.92,0,,1985-11-11,3355,India
G Gambhir,39.0,"DDV, KKR",154,4217,31.01,0,,1981-10-14,3107,India
AM Rahane,32.0,"MIN, RRO, RPS, DDV",149,3933,31.72,1,5.0,1988-06-06,3889,India
SR Watson,39.0,"RRO, RCB, CSK",145,3874,30.99,92,29.15,1981-06-17,3017,Australia
KD Karthik,35.0,"DDV, KXI, MIN, RCB, GUJ, KKR",196,3823,26.01,0,,1985-01-06,3210,India
AT Rayudu,35.0,"MIN, CSK",159,3659,29.51,0,,1985-09-23,4069,India
MK Pandey,31.0,"MIN, RCB, PWI, KKR, SUN",146,3268,29.71,0,,1989-10-09,4083,India
YK Pathan,38.0,"RRO, KKR, SUN",174,3204,29.13,42,33.02,1982-11-17,3550,India
KA Pollard,33.0,MIN,164,3023,29.93,60,32.28,1987-12-05,3465,West Indies
BB McCullum,39.0,"KKR, KTK, CSK, GUJ, RCB",109,2880,27.69,0,,1981-09-27,3008,New Zealand
PA Patel,35.0,"CSK, KTK, DCH, SUN, RCB, MIN",139,2848,22.6,0,,1985-09-03,3035,India
