season,match_id,player,runs_points,bowling_points,fielding_points,total_points,DOB,Country,matchday_player_age
2008-01-01,239,BB McCullum,174.0,0.0,8.0,182.0,1981-09-27,New Zealand,26.0
2008-01-01,250,BB McCullum,24.0,0.0,0.0,24.0,1981-09-27,New Zealand,26.0
2009-01-01,302,BB McCullum,21.0,0.0,16.0,37.0,1981-09-27,New Zealand,27.0
2009-01-01,302,BB McCullum,21.0,0.0,6.0,27.0,1981-09-27,New Zealand,27.0
2009-01-01,325,BB McCullum,35.0,0.0,0.0,35.0,1981-09-27,New Zealand,27.0
2009-01-01,335,BB McCullum,92.0,0.0,8.0,100.0,1981-09-27,New Zealand,27.0
2009-01-01,342,BB McCullum,20.0,0.0,0.0,20.0,1981-09-27,New Zealand,27.0
2009-01-01,345,BB McCullum,89.0,0.0,0.0,89.0,1981-09-27,New Zealand,27.0
2010-01-01,396,BB McCullum,45.0,0.0,0.0,45.0,1981-09-27,New Zealand,28.0
2010-01-01,409,BB McCullum,65.0,0.0,8.0,73.0,1981-09-27,New Zealand,28.0
2011-01-01,416,BB McCullum,45.0,0.0,8.0,53.0,1981-09-27,New Zealand,29.0
2011-01-01,426,BB McCullum,89.0,0.0,0.0,89.0,1981-09-27,New Zealand,29.0
2011-01-01,431,BB McCullum,47.0,0.0,0.0,47.0,1981-09-27,New Zealand,29.0
2011-01-01,453,BB McCullum,37.0,0.0,0.0,37.0,1981-09-27,New Zealand,29.0
2011-01-01,462,BB McCullum,22.0,0.0,0.0,22.0,1981-09-27,New Zealand,29.0
2011-01-01,469,BB McCullum,32.0,0.0,0.0,32.0,1981-09-27,New Zealand,29.0
2011-01-01,473,BB McCullum,29.0,0.0,0.0,29.0,1981-09-27,New Zealand,29.0
2011-01-01,476,BB McCullum,33.0,0.0,0.0,33.0,1981-09-27,New Zealand,29.0
2012-01-01,509,BB McCullum,15.0,0.0,6.0,21.0,1981-09-27,New Zealand,30.0
2012-01-01,523,BB McCullum,43.0,0.0,8.0,51.0,1981-09-27,New Zealand,30.0
2012-01-01,532,BB McCullum,42.0,0.0,6.0,48.0,1981-09-27,New Zealand,30.0
2012-01-01,536,BB McCullum,64.0,0.0,26.0,90.0,1981-09-27,New Zealand,30.0
2012-01-01,547,BB McCullum,37.0,0.0,6.0,43.0,1981-09-27,New Zealand,30.0
2012-01-01,549,BB McCullum,1.0,0.0,28.0,29.0,1981-09-27,New Zealand,30.0
2012-01-01,554,BB McCullum,41.0,0.0,24.0,65.0,1981-09-27,New Zealand,30.0
2012-01-01,557,BB McCullum,31.0,0.0,40.0,71.0,1981-09-27,New Zealand,30.0
2014-01-01,639,BB McCullum,75.0,0.0,0.0,75.0,1981-09-27,New Zealand,32.0
2014-01-01,649,BB McCullum,79.0,0.0,8.0,87.0,1981-09-27,New Zealand,32.0
2014-01-01,653,BB McCullum,40.0,0.0,0.0,40.0,1981-09-27,New Zealand,32.0
2014-01-01,657,BB McCullum,64.0,0.0,8.0,72.0,1981-09-27,New Zealand,32.0
2014-01-01,662,BB McCullum,32.0,0.0,0.0,32.0,1981-09-27,New Zealand,32.0
2014-01-01,665,BB McCullum,33.0,0.0,0.0,33.0,1981-09-27,New Zealand,32.0
2014-01-01,678,BB McCullum,19.0,0.0,8.0,27.0,1981-09-27,New Zealand,32.0
2014-01-01,683,BB McCullum,28.0,0.0,0.0,28.0,1981-09-27,New Zealand,32.0
2015-01-01,700,BB McCullum,116.0,0.0,0.0,116.0,1981-09-27,New Zealand,33.0
2015-01-01,709,BB McCullum,46.0,0.0,0.0,46.0,1981-09-27,New Zealand,33.0
2015-01-01,712,BB McCullum,12.0,0.0,0.0,12.0,1981-09-27,New Zealand,33.0
2015-01-01,721,BB McCullum,74.0,0.0,0.0,74.0,1981-09-27,New Zealand,33.0
2015-01-01,726,BB McCullum,19.0,0.0,8.0,27.0,1981-09-27,New Zealand,33.0
2015-01-01,706,BB McCullum,32.0,0.0,0.0,32.0,1981-09-27,New Zealand,33.0
2015-01-01,738,BB McCullum,23.0,0.0,0.0,23.0,1981-09-27,New Zealand,33.0
2015-01-01,742,BB McCullum,89.0,0.0,0.0,89.0,1981-09-27,New Zealand,33.0
2016-01-01,761,BB McCullum,49.0,0.0,0.0,49.0,1981-09-27,New Zealand,34.0
2016-01-01,770,BB McCullum,18.0,0.0,0.0,18.0,1981-09-27,New Zealand,34.0
2016-01-01,774,BB McCullum,42.0,0.0,0.0,42.0,1981-09-27,New Zealand,34.0
2016-01-01,778,BB McCullum,68.0,0.0,0.0,68.0,1981-09-27,New Zealand,34.0
2016-01-01,780,BB McCullum,43.0,0.0,0.0,43.0,1981-09-27,New Zealand,34.0
2016-01-01,793,BB McCullum,29.0,0.0,0.0,29.0,1981-09-27,New Zealand,34.0
2016-01-01,799,BB McCullum,11.0,0.0,0.0,11.0,1981-09-27,New Zealand,34.0
2016-01-01,809,BB McCullum,48.0,0.0,0.0,48.0,1981-09-27,New Zealand,34.0
2016-01-01,814,BB McCullum,32.0,0.0,12.0,44.0,1981-09-27,New Zealand,34.0
2017-01-01,2,BB McCullum,35.0,0.0,0.0,35.0,1981-09-27,New Zealand,35.0
2017-01-01,5,BB McCullum,5.0,0.0,8.0,13.0,1981-09-27,New Zealand,35.0
2017-01-01,12,BB McCullum,49.0,0.0,8.0,57.0,1981-09-27,New Zealand,35.0
2017-01-01,15,BB McCullum,72.0,0.0,8.0,80.0,1981-09-27,New Zealand,35.0
2017-01-01,19,BB McCullum,80.0,0.0,0.0,80.0,1981-09-27,New Zealand,35.0
2017-01-01,22,BB McCullum,33.0,0.0,14.0,47.0,1981-09-27,New Zealand,35.0
2017-01-01,37,BB McCullum,45.0,0.0,8.0,53.0,1981-09-27,New Zealand,35.0
2018-01-01,61,BB McCullum,43.0,0.0,8.0,51.0,1981-09-27,New Zealand,36.0
2018-01-01,87,BB McCullum,38.0,0.0,0.0,38.0,1981-09-27,New Zealand,36.0
2018-01-01,89,BB McCullum,37.0,0.0,0.0,37.0,1981-09-27,New Zealand,36.0
2008-01-01,239,AB Agarkar,-2.0,75.0,6.0,79.0,1977-04-12,India,30.0
2008-01-01,243,AB Agarkar,-2.0,50.0,0.0,48.0,1977-04-12,India,30.0
2008-01-01,250,AB Agarkar,11.0,25.0,0.0,36.0,1977-04-12,India,30.0
2008-01-01,254,AB Agarkar,2.0,25.0,0.0,27.0,1977-04-12,India,30.0
2008-01-01,257,AB Agarkar,20.0,25.0,8.0,53.0,1977-04-12,India,30.0
2008-01-01,278,AB Agarkar,15.0,0.0,0.0,15.0,1977-04-12,India,30.0
2009-01-01,321,AB Agarkar,-2.0,25.0,0.0,23.0,1977-04-12,India,31.0
2009-01-01,325,AB Agarkar,-2.0,25.0,0.0,23.0,1977-04-12,India,31.0
2009-01-01,333,AB Agarkar,39.0,0.0,0.0,39.0,1977-04-12,India,31.0
2009-01-01,335,AB Agarkar,-2.0,25.0,0.0,23.0,1977-04-12,India,31.0
2009-01-01,347,AB Agarkar,13.0,50.0,0.0,63.0,1977-04-12,India,31.0
2010-01-01,375,AB Agarkar,-2.0,50.0,0.0,48.0,1977-04-12,India,32.0
2010-01-01,383,AB Agarkar,8.0,25.0,0.0,33.0,1977-04-12,India,32.0
2011-01-01,438,AB Agarkar,-2.0,50.0,0.0,48.0,1977-04-12,India,33.0
2011-01-01,448,AB Agarkar,-2.0,50.0,0.0,48.0,1977-04-12,India,33.0
2011-01-01,458,AB Agarkar,-2.0,50.0,6.0,54.0,1977-04-12,India,33.0
2011-01-01,468,AB Agarkar,-2.0,25.0,0.0,23.0,1977-04-12,India,33.0
2012-01-01,506,AB Agarkar,-2.0,50.0,0.0,48.0,1977-04-12,India,34.0
2012-01-01,521,AB Agarkar,-2.0,25.0,8.0,31.0,1977-04-12,India,34.0
2008-01-01,239,SC Ganguly,10.0,50.0,0.0,60.0,1972-08-07,India,35.0
2008-01-01,257,SC Ganguly,59.0,0.0,0.0,59.0,1972-08-07,India,35.0
2008-01-01,267,SC Ganguly,20.0,25.0,0.0,45.0,1972-08-07,India,35.0
2008-01-01,271,SC Ganguly,99.0,50.0,8.0,157.0,1972-08-07,India,35.0
2008-01-01,278,SC Ganguly,15.0,0.0,8.0,23.0,1972-08-07,India,35.0
2008-01-01,282,SC Ganguly,2.0,0.0,0.0,2.0,1972-08-07,India,35.0
2008-01-01,284,SC Ganguly,32.0,25.0,0.0,57.0,1972-08-07,India,35.0
2008-01-01,291,SC Ganguly,94.0,0.0,0.0,94.0,1972-08-07,India,35.0
2009-01-01,302,SC Ganguly,-2.0,50.0,0.0,48.0,1972-08-07,India,36.0
2009-01-01,305,SC Ganguly,46.0,0.0,0.0,46.0,1972-08-07,India,36.0
2009-01-01,311,SC Ganguly,34.0,0.0,0.0,34.0,1972-08-07,India,36.0
2009-01-01,321,SC Ganguly,22.0,0.0,8.0,30.0,1972-08-07,India,36.0
2009-01-01,333,SC Ganguly,44.0,0.0,0.0,44.0,1972-08-07,India,36.0
2009-01-01,342,SC Ganguly,33.0,0.0,0.0,33.0,1972-08-07,India,36.0
2010-01-01,357,SC Ganguly,23.0,0.0,0.0,23.0,1972-08-07,India,37.0
2010-01-01,366,SC Ganguly,33.0,0.0,8.0,41.0,1972-08-07,India,37.0
2010-01-01,370,SC Ganguly,31.0,0.0,16.0,47.0,1972-08-07,India,37.0
2010-01-01,375,SC Ganguly,58.0,0.0,0.0,58.0,1972-08-07,India,37.0
2010-01-01,383,SC Ganguly,96.0,0.0,0.0,96.0,1972-08-07,India,37.0
2010-01-01,387,SC Ganguly,36.0,0.0,0.0,36.0,1972-08-07,India,37.0
2010-01-01,392,SC Ganguly,64.0,0.0,20.0,84.0,1972-08-07,India,37.0
2010-01-01,396,SC Ganguly,33.0,0.0,0.0,33.0,1972-08-07,India,37.0
2010-01-01,406,SC Ganguly,83.0,0.0,8.0,91.0,1972-08-07,India,37.0
2010-01-01,409,SC Ganguly,42.0,0.0,8.0,50.0,1972-08-07,India,37.0
2011-01-01,465,SC Ganguly,32.0,0.0,0.0,32.0,1972-08-07,India,38.0
2011-01-01,477,SC Ganguly,18.0,0.0,8.0,26.0,1972-08-07,India,38.0
2012-01-01,494,SC Ganguly,20.0,0.0,16.0,36.0,1972-08-07,India,39.0
2012-01-01,511,SC Ganguly,24.0,0.0,0.0,24.0,1972-08-07,India,39.0
2012-01-01,514,SC Ganguly,41.0,50.0,8.0,99.0,1972-08-07,India,39.0
2012-01-01,520,SC Ganguly,23.0,0.0,0.0,23.0,1972-08-07,India,39.0
2012-01-01,527,SC Ganguly,45.0,0.0,0.0,45.0,1972-08-07,India,39.0
2012-01-01,532,SC Ganguly,36.0,0.0,8.0,44.0,1972-08-07,India,39.0
2008-01-01,239,AB Dinda,-2.0,50.0,0.0,48.0,1984-03-25,India,23.0
2008-01-01,243,AB Dinda,-2.0,25.0,8.0,31.0,1984-03-25,India,23.0
2008-01-01,260,AB Dinda,-2.0,25.0,0.0,23.0,1984-03-25,India,23.0
2008-01-01,271,AB Dinda,-2.0,75.0,0.0,73.0,1984-03-25,India,23.0
2008-01-01,274,AB Dinda,-2.0,25.0,12.0,35.0,1984-03-25,India,23.0
2009-01-01,300,AB Dinda,2.0,25.0,0.0,27.0,1984-03-25,India,24.0
2009-01-01,302,AB Dinda,-2.0,25.0,0.0,23.0,1984-03-25,India,24.0
2009-01-01,317,AB Dinda,-2.0,25.0,8.0,31.0,1984-03-25,India,24.0
2009-01-01,345,AB Dinda,-2.0,25.0,0.0,23.0,1984-03-25,India,24.0
2010-01-01,366,AB Dinda,-2.0,50.0,0.0,48.0,1984-03-25,India,25.0
2010-01-01,392,AB Dinda,-2.0,50.0,0.0,48.0,1984-03-25,India,25.0
2010-01-01,396,AB Dinda,-2.0,50.0,0.0,48.0,1984-03-25,India,25.0
2010-01-01,406,AB Dinda,-2.0,50.0,0.0,48.0,1984-03-25,India,25.0
2010-01-01,409,AB Dinda,-2.0,25.0,12.0,35.0,1984-03-25,India,25.0
2011-01-01,420,AB Dinda,-2.0,25.0,0.0,23.0,1984-03-25,India,26.0
2011-01-01,429,AB Dinda,-2.0,50.0,0.0,48.0,1984-03-25,India,26.0
2011-01-01,432,AB Dinda,-2.0,25.0,0.0,23.0,1984-03-25,India,26.0
2012-01-01,489,AB Dinda,-2.0,116.0,0.0,114.0,1984-03-25,India,27.0
2012-01-01,500,AB Dinda,2.0,25.0,0.0,27.0,1984-03-25,India,27.0
2012-01-01,503,AB Dinda,-2.0,25.0,8.0,31.0,1984-03-25,India,27.0
2013-01-01,563,AB Dinda,-2.0,50.0,8.0,56.0,1984-03-25,India,28.0
2013-01-01,578,AB Dinda,-2.0,50.0,8.0,56.0,1984-03-25,India,28.0
2013-01-01,590,AB Dinda,1.0,50.0,12.0,63.0,1984-03-25,India,28.0
2013-01-01,598,AB Dinda,-2.0,75.0,0.0,73.0,1984-03-25,India,28.0
2013-01-01,605,AB Dinda,6.0,50.0,0.0,56.0,1984-03-25,India,28.0
2013-01-01,618,AB Dinda,-2.0,50.0,8.0,56.0,1984-03-25,India,28.0
2013-01-01,630,AB Dinda,-2.0,50.0,0.0,48.0,1984-03-25,India,28.0
2014-01-01,641,AB Dinda,-2.0,25.0,0.0,23.0,1984-03-25,India,29.0
2014-01-01,654,AB Dinda,2.0,25.0,0.0,27.0,1984-03-25,India,29.0
2014-01-01,685,AB Dinda,-2.0,25.0,0.0,23.0,1984-03-25,India,29.0
2016-01-01,777,AB Dinda,-2.0,75.0,0.0,73.0,1984-03-25,India,31.0
2016-01-01,780,AB Dinda,-2.0,50.0,0.0,48.0,1984-03-25,India,31.0
2016-01-01,784,AB Dinda,-2.0,25.0,0.0,23.0,1984-03-25,India,31.0
2016-01-01,804,AB Dinda,-2.0,75.0,0.0,73.0,1984-03-25,India,31.0
2008-01-01,239,JH Kallis,8.0,25.0,8.0,41.0,1975-10-16,South Africa,32.0
2008-01-01,242,JH Kallis,25.0,0.0,0.0,25.0,1975-10-16,South Africa,32.0
2008-01-01,255,JH Kallis,62.0,50.0,0.0,112.0,1975-10-16,South Africa,32.0
2008-01-01,290,JH Kallis,6.0,25.0,0.0,31.0,1975-10-16,South Africa,32.0
2008-01-01,280,JH Kallis,20.0,0.0,0.0,20.0,1975-10-16,South Africa,32.0
2008-01-01,283,JH Kallis,25.0,0.0,0.0,25.0,1975-10-16,South Africa,32.0
2008-01-01,259,JH Kallis,31.0,0.0,0.0,31.0,1975-10-16,South Africa,32.0
2009-01-01,301,JH Kallis,24.0,0.0,0.0,24.0,1975-10-16,South Africa,33.0
2009-01-01,306,JH Kallis,70.0,25.0,0.0,95.0,1975-10-16,South Africa,33.0
2009-01-01,313,JH Kallis,23.0,0.0,8.0,31.0,1975-10-16,South Africa,33.0
2009-01-01,318,JH Kallis,27.0,0.0,16.0,43.0,1975-10-16,South Africa,33.0
2009-01-01,322,JH Kallis,77.0,0.0,0.0,77.0,1975-10-16,South Africa,33.0
2009-01-01,327,JH Kallis,10.0,25.0,0.0,35.0,1975-10-16,South Africa,33.0
2009-01-01,335,JH Kallis,32.0,0.0,0.0,32.0,1975-10-16,South Africa,33.0
2009-01-01,338,JH Kallis,-2.0,50.0,0.0,48.0,1975-10-16,South Africa,33.0
2009-01-01,346,JH Kallis,66.0,25.0,8.0,99.0,1975-10-16,South Africa,33.0
2009-01-01,352,JH Kallis,9.0,25.0,0.0,34.0,1975-10-16,South Africa,33.0
2010-01-01,357,JH Kallis,73.0,0.0,0.0,73.0,1975-10-16,South Africa,34.0
2010-01-01,360,JH Kallis,97.0,25.0,0.0,122.0,1975-10-16,South Africa,34.0
2010-01-01,363,JH Kallis,44.0,50.0,0.0,94.0,1975-10-16,South Africa,34.0
2010-01-01,367,JH Kallis,74.0,25.0,8.0,107.0,1975-10-16,South Africa,34.0
2010-01-01,371,JH Kallis,19.0,0.0,8.0,27.0,1975-10-16,South Africa,34.0
2010-01-01,381,JH Kallis,60.0,25.0,0.0,85.0,1975-10-16,South Africa,34.0
2010-01-01,384,JH Kallis,9.0,25.0,8.0,42.0,1975-10-16,South Africa,34.0
2010-01-01,388,JH Kallis,62.0,0.0,0.0,62.0,1975-10-16,South Africa,34.0
2010-01-01,393,JH Kallis,76.0,0.0,0.0,76.0,1975-10-16,South Africa,34.0
2010-01-01,396,JH Kallis,8.0,50.0,6.0,64.0,1975-10-16,South Africa,34.0
2010-01-01,402,JH Kallis,-2.0,25.0,6.0,29.0,1975-10-16,South Africa,34.0
2010-01-01,405,JH Kallis,14.0,50.0,8.0,72.0,1975-10-16,South Africa,34.0
2010-01-01,412,JH Kallis,19.0,50.0,8.0,77.0,1975-10-16,South Africa,34.0
2011-01-01,414,JH Kallis,62.0,50.0,0.0,112.0,1975-10-16,South Africa,35.0
2011-01-01,419,JH Kallis,61.0,0.0,24.0,85.0,1975-10-16,South Africa,35.0
2011-01-01,425,JH Kallis,88.0,0.0,8.0,96.0,1975-10-16,South Africa,35.0
2011-01-01,437,JH Kallis,40.0,0.0,0.0,40.0,1975-10-16,South Africa,35.0
2011-01-01,454,JH Kallis,30.0,25.0,8.0,63.0,1975-10-16,South Africa,35.0
2011-01-01,457,JH Kallis,45.0,0.0,8.0,53.0,1975-10-16,South Africa,35.0
2011-01-01,457,JH Kallis,45.0,0.0,6.0,51.0,1975-10-16,South Africa,35.0
2011-01-01,460,JH Kallis,21.0,0.0,8.0,29.0,1975-10-16,South Africa,35.0
2011-01-01,470,JH Kallis,17.0,50.0,8.0,75.0,1975-10-16,South Africa,35.0
2011-01-01,482,JH Kallis,67.0,0.0,0.0,67.0,1975-10-16,South Africa,35.0
2011-01-01,484,JH Kallis,7.0,50.0,0.0,57.0,1975-10-16,South Africa,35.0
2012-01-01,488,JH Kallis,4.0,25.0,0.0,29.0,1975-10-16,South Africa,36.0
2012-01-01,496,JH Kallis,22.0,50.0,0.0,72.0,1975-10-16,South Africa,36.0
2012-01-01,501,JH Kallis,31.0,0.0,0.0,31.0,1975-10-16,South Africa,36.0
2012-01-01,509,JH Kallis,30.0,0.0,8.0,38.0,1975-10-16,South Africa,36.0
2012-01-01,516,JH Kallis,23.0,0.0,6.0,29.0,1975-10-16,South Africa,36.0
2012-01-01,523,JH Kallis,41.0,50.0,0.0,91.0,1975-10-16,South Africa,36.0
2012-01-01,526,JH Kallis,26.0,50.0,0.0,76.0,1975-10-16,South Africa,36.0
2012-01-01,532,JH Kallis,1.0,25.0,0.0,26.0,1975-10-16,South Africa,36.0
2012-01-01,536,JH Kallis,30.0,50.0,0.0,80.0,1975-10-16,South Africa,36.0
2012-01-01,542,JH Kallis,87.0,0.0,0.0,87.0,1975-10-16,South Africa,36.0
2012-01-01,549,JH Kallis,-2.0,50.0,0.0,48.0,1975-10-16,South Africa,36.0
2012-01-01,557,JH Kallis,30.0,50.0,0.0,80.0,1975-10-16,South Africa,36.0
2012-01-01,560,JH Kallis,77.0,25.0,0.0,102.0,1975-10-16,South Africa,36.0
2013-01-01,561,JH Kallis,23.0,0.0,8.0,31.0,1975-10-16,South Africa,37.0
2013-01-01,576,JH Kallis,41.0,75.0,0.0,116.0,1975-10-16,South Africa,37.0
2013-01-01,579,JH Kallis,1.0,75.0,0.0,76.0,1975-10-16,South Africa,37.0
2013-01-01,585,JH Kallis,-2.0,25.0,0.0,23.0,1975-10-16,South Africa,37.0
2013-01-01,592,JH Kallis,37.0,0.0,0.0,37.0,1975-10-16,South Africa,37.0
2013-01-01,594,JH Kallis,37.0,50.0,6.0,93.0,1975-10-16,South Africa,37.0
2013-01-01,597,JH Kallis,19.0,0.0,0.0,19.0,1975-10-16,South Africa,37.0
2013-01-01,603,JH Kallis,12.0,25.0,8.0,45.0,1975-10-16,South Africa,37.0
2013-01-01,606,JH Kallis,33.0,25.0,8.0,66.0,1975-10-16,South Africa,37.0
2013-01-01,616,JH Kallis,2.0,50.0,0.0,52.0,1975-10-16,South Africa,37.0
2013-01-01,620,JH Kallis,41.0,50.0,0.0,91.0,1975-10-16,South Africa,37.0
2013-01-01,624,JH Kallis,1.0,25.0,6.0,32.0,1975-10-16,South Africa,37.0
2013-01-01,632,JH Kallis,24.0,0.0,0.0,24.0,1975-10-16,South Africa,37.0
2014-01-01,637,JH Kallis,80.0,0.0,8.0,88.0,1975-10-16,South Africa,38.0
2014-01-01,642,JH Kallis,-2.0,25.0,0.0,23.0,1975-10-16,South Africa,38.0
2014-01-01,647,JH Kallis,43.0,25.0,0.0,68.0,1975-10-16,South Africa,38.0
2014-01-01,651,JH Kallis,9.0,25.0,0.0,34.0,1975-10-16,South Africa,38.0
