match_id,season,date,city,venue,teams,team_1,team_2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result,method
239,2008,2008-04-18,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",RCB,KKR,RCB,field,KKR,140.0,,['BB McCullum'],0,0
240,2008,2008-04-19,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Chennai Super Kings']",KXIP,CSK,CSK,bat,CSK,33.0,,['MEK Hussey'],0,0
241,2008,2008-04-19,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Rajasthan Royals']",DC,RR,RR,bat,DC,,9.0,['MF Maharoof'],0,0
242,2008,2008-04-20,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Royal Challengers Bangalore']",MI,RCB,MI,bat,RCB,,5.0,['MV Boucher'],0,0
243,2008,2008-04-20,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Deccan Chargers']",KKR,SRH,SRH,bat,KKR,,5.0,['DJ Hussey'],0,0
244,2008,2008-04-21,Jaipur,Sawai Mansingh Stadium,"['Rajasthan Royals', 'Kings XI Punjab']",RR,KXIP,KXIP,bat,RR,,6.0,['SR Watson'],0,0
245,2008,2008-04-22,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Deccan Chargers', 'Delhi Daredevils']",SRH,DC,SRH,bat,DC,,9.0,['V Sehwag'],0,0
246,2008,2008-04-23,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Mumbai Indians']",CSK,MI,MI,field,CSK,6.0,,['ML Hayden'],0,0
247,2008,2008-04-24,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Deccan Chargers', 'Rajasthan Royals']",SRH,RR,RR,field,RR,,3.0,['YK Pathan'],0,0
248,2008,2008-04-25,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Mumbai Indians']",KXIP,MI,MI,field,KXIP,66.0,,['KC Sangakkara'],0,0
249,2008,2008-04-26,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Rajasthan Royals']",RCB,RR,RR,field,RR,,7.0,['SR Watson'],0,0
250,2008,2008-04-26,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Kolkata Knight Riders']",CSK,KKR,KKR,bat,CSK,,9.0,['JDP Oram'],0,0
252,2008,2008-04-27,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Delhi Daredevils']",KXIP,DC,DC,bat,KXIP,,4.0,['SM Katich'],0,0
251,2008,2008-04-27,Mumbai,Dr DY Patil Sports Academy,"['Mumbai Indians', 'Deccan Chargers']",MI,SRH,SRH,field,SRH,,10.0,['AC Gilchrist'],0,0
253,2008,2008-04-28,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Chennai Super Kings']",RCB,CSK,CSK,bat,CSK,13.0,,['MS Dhoni'],0,0
254,2008,2008-04-29,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Mumbai Indians']",KKR,MI,KKR,bat,MI,,7.0,['ST Jayasuriya'],0,0
255,2008,2008-04-30,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Royal Challengers Bangalore']",DC,RCB,RCB,field,DC,10.0,,['GD McGrath'],0,0
256,2008,2008-05-01,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Deccan Chargers', 'Kings XI Punjab']",SRH,KXIP,KXIP,field,KXIP,,7.0,['SE Marsh'],0,0
257,2008,2008-05-01,Jaipur,Sawai Mansingh Stadium,"['Rajasthan Royals', 'Kolkata Knight Riders']",RR,KKR,RR,bat,RR,45.0,,['SA Asnodkar'],0,0
258,2008,2008-05-02,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Delhi Daredevils']",CSK,DC,CSK,bat,DC,,8.0,['V Sehwag'],0,0
260,2008,2008-05-03,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Kolkata Knight Riders']",KXIP,KKR,KXIP,bat,KXIP,9.0,,['IK Pathan'],0,0
290,2008,2008-05-03,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Deccan Chargers']",RCB,SRH,SRH,field,RCB,3.0,,['P Kumar'],0,0
261,2008,2008-05-04,Mumbai,Dr DY Patil Sports Academy,"['Mumbai Indians', 'Delhi Daredevils']",MI,DC,DC,field,MI,29.0,,['SM Pollock'],0,0
