season,match_id,player,player_runs,player_wickets,fielding_points,runs_points,bowling_points,total_points,DOB,Country,matchday_player_age
2008-01-01,239.0,SC Ganguly,10.0,2.0,0.0,10.0,50.0,60.0,1972-08-07,India,35.0
2008-01-01,243.0,SC Ganguly,14.0,0.0,8.0,14.0,0.0,22.0,1972-08-07,India,35.0
2008-01-01,250.0,SC Ganguly,12.0,0.0,0.0,12.0,0.0,12.0,1972-08-07,India,35.0
2008-01-01,254.0,SC Ganguly,4.0,0.0,0.0,4.0,0.0,4.0,1972-08-07,India,35.0
2008-01-01,257.0,SC Ganguly,51.0,0.0,0.0,59.0,0.0,59.0,1972-08-07,India,35.0
2008-01-01,260.0,SC Ganguly,5.0,0.0,8.0,5.0,0.0,13.0,1972-08-07,India,35.0
2008-01-01,267.0,SC Ganguly,20.0,1.0,0.0,20.0,25.0,45.0,1972-08-07,India,35.0
2008-01-01,271.0,SC Ganguly,91.0,2.0,8.0,99.0,50.0,157.0,1972-08-07,India,35.0
2008-01-01,274.0,SC Ganguly,7.0,0.0,0.0,7.0,0.0,7.0,1972-08-07,India,35.0
2008-01-01,278.0,SC Ganguly,15.0,0.0,8.0,15.0,0.0,23.0,1972-08-07,India,35.0
2008-01-01,282.0,SC Ganguly,2.0,0.0,0.0,2.0,0.0,2.0,1972-08-07,India,35.0
2008-01-01,284.0,SC Ganguly,32.0,1.0,0.0,32.0,25.0,57.0,1972-08-07,India,35.0
2008-01-01,291.0,SC Ganguly,86.0,0.0,0.0,94.0,0.0,94.0,1972-08-07,India,35.0
2009-01-01,300.0,SC Ganguly,1.0,0.0,0.0,1.0,0.0,1.0,1972-08-07,India,36.0
2009-01-01,305.0,SC Ganguly,46.0,0.0,0.0,46.0,0.0,46.0,1972-08-07,India,36.0
2009-01-01,311.0,SC Ganguly,34.0,0.0,0.0,34.0,0.0,34.0,1972-08-07,India,36.0
2009-01-01,313.0,SC Ganguly,1.0,0.0,0.0,1.0,0.0,1.0,1972-08-07,India,36.0
2009-01-01,317.0,SC Ganguly,0.0,0.0,0.0,-2.0,0.0,-2.0,1972-08-07,India,36.0
2009-01-01,321.0,SC Ganguly,22.0,0.0,8.0,22.0,0.0,30.0,1972-08-07,India,36.0
2009-01-01,333.0,SC Ganguly,44.0,0.0,0.0,44.0,0.0,44.0,1972-08-07,India,36.0
2009-01-01,335.0,SC Ganguly,4.0,0.0,8.0,4.0,0.0,12.0,1972-08-07,India,36.0
2009-01-01,342.0,SC Ganguly,33.0,0.0,0.0,33.0,0.0,33.0,1972-08-07,India,36.0
2009-01-01,345.0,SC Ganguly,4.0,0.0,0.0,4.0,0.0,4.0,1972-08-07,India,36.0
2009-01-01,347.0,SC Ganguly,0.0,0.0,8.0,-2.0,0.0,6.0,1972-08-07,India,36.0
2010-01-01,354.0,SC Ganguly,0.0,0.0,8.0,-2.0,0.0,6.0,1972-08-07,India,37.0
2010-01-01,357.0,SC Ganguly,23.0,0.0,0.0,23.0,0.0,23.0,1972-08-07,India,37.0
2010-01-01,361.0,SC Ganguly,11.0,0.0,0.0,11.0,0.0,11.0,1972-08-07,India,37.0
2010-01-01,366.0,SC Ganguly,33.0,0.0,8.0,33.0,0.0,41.0,1972-08-07,India,37.0
2010-01-01,370.0,SC Ganguly,31.0,0.0,16.0,31.0,0.0,47.0,1972-08-07,India,37.0
2010-01-01,375.0,SC Ganguly,50.0,0.0,0.0,58.0,0.0,58.0,1972-08-07,India,37.0
2010-01-01,379.0,SC Ganguly,5.0,0.0,0.0,5.0,0.0,5.0,1972-08-07,India,37.0
2010-01-01,383.0,SC Ganguly,88.0,0.0,0.0,96.0,0.0,96.0,1972-08-07,India,37.0
2010-01-01,387.0,SC Ganguly,36.0,0.0,0.0,36.0,0.0,36.0,1972-08-07,India,37.0
2010-01-01,392.0,SC Ganguly,56.0,0.0,20.0,64.0,0.0,84.0,1972-08-07,India,37.0
2010-01-01,396.0,SC Ganguly,33.0,0.0,0.0,33.0,0.0,33.0,1972-08-07,India,37.0
2010-01-01,401.0,SC Ganguly,10.0,0.0,0.0,10.0,0.0,10.0,1972-08-07,India,37.0
2010-01-01,406.0,SC Ganguly,75.0,0.0,8.0,83.0,0.0,91.0,1972-08-07,India,37.0
2010-01-01,409.0,SC Ganguly,42.0,0.0,8.0,42.0,0.0,50.0,1972-08-07,India,37.0
